brand,house_name,base_price,storey,frontage,depth,gf_sqm,total_sqm,lot_total_sqm,squares,details
Hermitage Homes,Mawson 18,299000,Single,10.5,25,166.98,166.98,262.5,18,"3 Bed, 2 Bath, Double Car Garage, 1 Living Area"
Hermitage Homes,Onix 17,295800,Single,12.5,21,151.63,151.63,262.5,17,"3 Bed, 2 Bath, Double Car Garage, 1 Living Area"
Hermitage Homes,Oxford 27,422900,Double,12.5,22,131.18,247.5,275,27,"4 Bed, 2 Bath, Double Car Garage, 2 Living Areas, Study"
Hermitage Homes,Polo 26,360000,Single,12.5,32,239.26,239.26,400,26,"4 Bed, 2 Bath, Double Car Garage, 2 Living Areas, Outdoor Living, Study"
Hermitage Homes,Raleigh 17 GE,317400,Single,12.5,21,155.61,155.61,262.5,17,"3 Bed, 3 Bath, Double Car Garage, 1 Living Area (Gama 17 GE)"
Hermitage Homes,Spencer 17,377800,Double,10,22,114.88,168.72,220,17,"3 Bed, 2 Bath, Double Car Garage, 1 Living Area"
Hermitage Homes,Spencer 24,409500,Double,10,30,133.26,220.73,300,24,"4 Bed, 2 Bath, Double Car Garage, 1 Living Area, Outdoor Living"
Hermitage Homes,Walker 20,313000,Single,12.5,25,179.97,179.97,312.5,20,"4 Bed, 2 Bath, Double Car Garage, 1 Living Area"
Hermitage Homes,Wentworth 22,328300,Single,12.5,28,206.32,206.32,350,22,"4 Bed, 2 Bath, Double Car Garage, 2 Living Areas, Outdoor Living, Study"
Hermitage Homes,Wentworth 24,338900,Single,12.5,30,220.42,220.42,375,24,"4 Bed, 2 Bath, Double Car Garage, 2 Living Areas, Outdoor Living, Study"
